route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
0,7,49.468093728,44.965196998,5,0,42.275,373.553,-4.502896729999996,0.9089737163764761,331.278,0.0,0.7142857142857143,0,0,1,0,0,1,1,efficient,none,-0.6432709614285709
1,7,33.274341688,33.610417708,6,0,64.855,371.387,0.33607602000000014,1.010100155343455,306.532,0.0,0.8571428571428571,1,0,1,0,0,1,0,slightly inefficient,none,0.04801086000000002
2,7,12.124804074,12.508785765,4,0,110.283,473.273,0.3839816910000007,1.0316691048083324,362.99,0.0,0.5714285714285714,2,0,1,0,0,1,0,slightly inefficient,none,0.05485452728571438
3,10,19.039848184,19.374643516,6,0,194.274,448.366,0.3347953319999988,1.0175839286513504,254.09199999999998,0.0,0.6,3,0,1,0,0,1,0,slightly inefficient,none,0.03347953319999988
4,8,20.6326741,19.528798789,2,0,196.588,357.34,-1.1038753109999995,0.9464986794416532,160.75199999999998,0.0,0.25,4,0,1,0,0,0,1,efficient,none,-0.13798441387499993
5,10,24.725452436,20.224538139,8,0,226.974,477.231,-4.500914297000001,0.8179643301310549,250.257,0.0,0.8,5,0,1,0,0,1,1,efficient,none,-0.45009142970000016
6,14,27.167693204000003,26.90500118,11,0,239.609,457.371,-0.26269202400000324,0.9903307203144753,217.76199999999997,0.0,0.7857142857142857,6,0,1,0,0,1,1,efficient,none,-0.018763716000000232
7,15,16.837737388,19.940303705,11,0,240.261,536.481,3.102566317000001,1.1842626622274768,296.22,0.0,0.7333333333333333,7,0,1,1,0,1,0,slightly inefficient,none,0.20683775446666672
8,7,34.451533645,33.236223050999996,2,0,243.448,485.747,-1.2153105940000017,0.9647240495438326,242.299,0.0,0.2857142857142857,8,0,1,0,0,0,1,efficient,none,-0.17361579914285738
9,11,54.345069289,40.127745815,8,0,245.867,448.106,-14.217323474000004,0.7383879777870164,202.239,0.0,0.7272727272727273,9,0,1,0,0,1,1,efficient,none,-1.2924839521818186
10,23,145.739067315,57.593684226,21,1,253.876,518.543,-88.145383089,0.3951835653065981,264.66700000000003,0.043478260869565216,0.9130434782608695,10,0,1,0,1,1,1,efficient,low,-3.8324079603913046
11,10,76.561115086,75.295633248,9,1,0.0,514.393,-1.2654818379999995,0.983470958637704,514.393,0.1,0.9,11,0,1,0,1,1,1,efficient,low,-0.12654818379999994
12,10,79.68523993800001,78.49404798200001,8,0,69.254,345.223,-1.1911919559999973,0.9850512848185333,275.969,0.0,0.8,12,0,1,0,0,1,1,efficient,none,-0.11911919559999973
13,15,48.619106042,55.829595802,13,0,59.006,595.954,7.2104897600000015,1.148305683649781,536.948,0.0,0.8666666666666667,13,0,1,1,0,1,0,slightly inefficient,none,0.48069931733333343
14,7,123.401557648,69.762725976,2,0,140.847,521.19,-53.638831671999995,0.5653309999132792,380.3430000000001,0.0,0.2857142857142857,14,0,1,0,0,0,1,efficient,none,-7.6626902388571425
15,14,32.29998740907,27.01135005807,12,1,82.904,532.917,-5.288637350999998,0.8362650336663933,450.01300000000003,0.07142857142857142,0.8571428571428571,15,0,1,0,1,1,1,efficient,low,-0.3777598107857142
16,15,140.607060779,112.350937643,12,1,148.165,630.08,-28.256123136,0.7990419330334219,481.9150000000001,0.06666666666666667,0.8,16,0,1,0,1,1,1,efficient,low,-1.8837415424
17,8,112.09597602,135.961375963,6,0,95.354,500.619,23.865399943,1.2129014866576653,405.26500000000004,0.0,0.75,17,0,1,1,0,1,0,highly inefficient,none,2.983174992875
18,24,78.176859573,106.766473061,21,6,114.172,682.93,28.589613487999998,1.365704297207073,568.7579999999999,0.25,0.875,18,0,1,1,1,1,0,highly inefficient,high,1.1912338953333332
19,17,69.876837345,70.71383804599999,13,0,145.543,507.634,0.8370007009999938,1.01197822816261,362.091,0.0,0.7647058823529411,19,0,1,0,0,1,0,slightly inefficient,none,0.049235335352940814
20,15,77.350047897,62.488361929,7,0,122.865,715.255,-14.861685967999996,0.8078645537777824,592.39,0.0,0.4666666666666667,20,0,1,0,0,0,1,efficient,none,-0.9907790645333331
21,17,26.078408323999998,25.770845277,8,1,132.404,600.189,-0.3075630469999986,0.988206218601273,467.78499999999997,0.058823529411764705,0.47058823529411764,21,0,1,0,1,0,1,efficient,low,-0.018091943941176386
22,12,42.399873023,42.825152538,5,0,163.251,480.994,0.4252795149999997,1.0100302072784346,317.74300000000005,0.0,0.4166666666666667,22,0,1,0,0,0,0,slightly inefficient,none,0.03543995958333331
23,23,39.743951402,50.449012235,18,6,166.483,757.11,10.705060832999997,1.2693506925046536,590.627,0.2608695652173913,0.782608695652174,23,0,1,1,1,1,0,highly inefficient,high,0.465437427521739
24,14,80.663477321,99.70684833600001,8,0,179.678,618.039,19.043371015000005,1.2360841814346408,438.361,0.0,0.5714285714285714,24,0,1,1,0,1,0,highly inefficient,none,1.3602407867857147
25,23,78.249512772,51.153867859,18,0,196.177,470.749,-27.095644913,0.6537276213853228,274.572,0.0,0.782608695652174,25,0,1,0,0,1,1,efficient,none,-1.1780715179565218
26,11,79.967268182,90.266392715,9,0,139.439,475.835,10.299124532999997,1.1287917515146308,336.39599999999996,0.0,0.8181818181818182,26,0,0,1,0,1,0,slightly inefficient,none,0.9362840484545452
27,24,45.470368005,38.143576854,20,0,203.318,625.244,-7.326791150999995,0.8388666845582967,421.92600000000004,0.0,0.8333333333333334,27,0,1,0,0,1,1,efficient,none,-0.30528296462499976
28,17,39.89803035,40.669039352,9,1,207.568,828.198,0.7710090019999996,1.0193244878315153,620.63,0.058823529411764705,0.5294117647058824,28,0,1,0,1,1,0,slightly inefficient,low,0.045353470705882325
29,4,22.699553246,22.699553246,0,0,30.937,377.836,0.0,1.0,346.899,0.0,0.0,29,0,0,0,0,0,0,efficient,none,0.0
30,18,37.798651891999995,48.029838014,14,7,211.293,659.527,10.231186122000004,1.270675952974011,448.23400000000004,0.3888888888888889,0.7777777777777778,30,0,1,1,1,1,0,highly inefficient,high,0.5683992290000002
31,15,34.835838878000004,37.227029224,13,0,220.47,635.696,2.391190345999995,1.0686416754416128,415.226,0.0,0.8666666666666667,31,0,1,0,0,1,0,slightly inefficient,none,0.15941268973333297
32,9,26.613016560000002,26.394197698,7,0,168.684,415.783,-0.21881886200000267,0.9917777505039059,247.09900000000002,0.0,0.7777777777777778,32,0,0,0,0,1,1,efficient,none,-0.024313206888889185
33,14,37.119039539999996,44.317799668999996,11,0,229.031,587.063,7.198760129,1.19393713356302,358.032,0.0,0.7857142857142857,33,0,1,1,0,1,0,slightly inefficient,none,0.5141971520714286
34,10,29.456251096000003,30.068542503000003,3,1,173.285,586.758,0.6122914070000007,1.0207864675312721,413.47300000000007,0.1,0.3,34,0,0,0,1,0,0,slightly inefficient,low,0.06122914070000007
35,15,114.09645502900001,60.936587174,6,4,174.995,665.846,-53.15986785500001,0.534079583441148,490.851,0.26666666666666666,0.4,35,0,0,0,1,0,1,efficient,high,-3.543991190333334
36,17,43.113404016000004,41.147692651999996,10,1,239.552,693.624,-1.9657113640000077,0.9544060273396527,454.072,0.058823529411764705,0.5882352941176471,36,0,1,0,1,1,1,efficient,low,-0.11563008023529457
37,17,26.685886387,26.675734529,8,0,248.929,525.54,-0.010151858000000402,0.9996195795090792,276.611,0.0,0.47058823529411764,37,0,1,0,0,0,1,efficient,none,-0.0005971681176470825
38,9,25.576956666,29.088743381,4,2,192.962,544.832,3.5117867149999995,1.1373027589192537,351.87,0.2222222222222222,0.4444444444444444,38,0,0,1,1,0,0,slightly inefficient,high,0.3901985238888888
39,24,50.841132927000004,54.989357868,9,6,260.504,707.914,4.148224940999995,1.0815919060449775,447.40999999999997,0.25,0.375,39,0,1,0,1,0,0,slightly inefficient,high,0.1728427058749998
